Invoice_ID,Date,Customer_ID,Product_ID,Product_Name,Category,Quantity,Unit_Price,Sales,Cost,Profit,Region,Payment_Method,Year,Month,Month_Name,Month_Year,Quarter,Weekday,Week_Number,Profit_Margin_%,Revenue_Per_Unit,Is_Weekend,High_Value_Order
INV00001,2023-01-21,CUST1075,Product6578,Neem Capsules,Herbal & Ayurvedic,5,175.39,876.95,526.76,350.19,South Branch,Debit Card,2023,1,Jan,Jan-2023,Q1,Saturday,3,39.93,175.39,True,False
INV00002,2023-10-21,CUST1021,Product2184,Pulse Oximeter,Medical Devices,3,365.87,1097.61,720.05,377.56,South Branch,Insurance,2023,10,Oct,Oct-2023,Q4,Saturday,42,34.4,365.87,True,False
INV00003,2023-02-28,CUST1015,Product1189,Moisturizer Cream,Cosmetics & Skincare,6,55.3,331.8,230.35,101.45,South Branch,Insurance,2023,2,Feb,Feb-2023,Q1,Tuesday,9,30.58,55.3,False,False
INV00004,2023-11-16,CUST1051,Product9838,Maternity Pads,Baby & Mother Care,6,395.55,2373.3,1702.02,671.28,North Branch,Debit Card,2023,11,Nov,Nov-2023,Q4,Thursday,46,28.28,395.55,False,False
INV00005,2023-01-14,CUST1009,Product8513,Digital Thermometer,Medical Devices,7,342.45,2397.15,1585.86,811.29,South Branch,Credit Card,2023,1,Jan,Jan-2023,Q1,Saturday,2,33.84,342.45,True,False
INV00006,2023-09-21,CUST1050,Product4943,Bp Monitor,Medical Devices,4,1071.28,4285.12,3056.78,1228.34,East Branch,Cash,2023,9,Sep,Sep-2023,Q3,Thursday,38,28.67,1071.28,False,True
INV00007,2023-11-06,CUST1044,Product1161,Moisturizer Cream,Cosmetics & Skincare,6,440.05,2640.3,1487.34,1152.96,Central Branch,Credit Card,2023,11,Nov,Nov-2023,Q4,Monday,45,43.67,440.05,False,False
INV00008,2023-08-03,CUST1040,Product8892,Ors Sachets,Otc Medicines,4,217.31,869.24,535.13,334.11,West Branch,Cash,2023,8,Aug,Aug-2023,Q3,Thursday,31,38.44,217.31,False,False
INV00009,2023-09-09,CUST1041,Product6276,Bp Monitor,Medical Devices,7,2951.96,20663.72,16089.79,4573.93,West Branch,Insurance,2023,9,Sep,Sep-2023,Q3,Saturday,36,22.14,2951.96,True,True
INV00010,2023-05-09,CUST1081,Product1391,Tulsi Drops,Herbal & Ayurvedic,1,88.13,88.13,60.16,27.97,West Branch,Debit Card,2023,5,May,May-2023,Q2,Tuesday,19,31.74,88.13,False,False
INV00011,2023-02-10,CUST1072,Product4104,Calcium + D3,Supplements & Vitamins,1,786.26,786.26,407.62,378.64,West Branch,Cash,2023,2,Feb,Feb-2023,Q1,Friday,6,48.16,786.26,False,False
